code,city,province,year,built_district,pub_income,pub_expend,dist_pop,city_pop,gdp,primary_gdp_per,secondary_gdp_per,tertiary_gdp_per,output_value,output_dom,vat,invest_fixassets,invest_realestate,electric_use
2,Anqing,Anhui,2013,88,984572,2797223,621.7,73.4,14182282,14.25,53.14,32.61,25744428,24735073,637694,11857153,1497996,408002
2,Anqing,Anhui,2012,85,856202,2456795,620.4,73.3,13597027,14.43,55.85,29.72,21242521,20375982,455917,9720126,1001697,355056
2,Anqing,Anhui,2011,80,723948,2148887,618.7,73.5,12157400,14.86,55.33,29.8,18110489,17279394,435021,8293701,986466,385511
2,Anqing,Anhui,2010,77,505742,1618318,615.62,73.65,9881100,15.74,53.03,31.23,13159401,12565712,375045,8093930,922207,324125
2,Anqing,Anhui,2009,72,415553,1399597,615.88,73.96,7706600,18.52,46.89,34.59,9587587,9152159,268785,6015456,653325,286422
2,Anqing,Anhui,2008,66,384613,1119717,613.89,74.26,7047175,19.05,42.44,38.52,7787573,7473156,235254,4392228,636334,264500
2,Anqing,Anhui,2007,63,321964,824967,610.99,74.1,5876612,19.12,41.37,39.51,6066259,5677478,175861,3260880,431256,251850
2,Anqing,Anhui,2006,55,245382,623230,607.89,73.71,4942100,19.1,42.27,38.63,4556411,4297359,120617,2109314,255697,219000
2,Anqing,Anhui,2005,52,195459,462453,605.55,73.04,4296400,20.79,41.12,38.09,3579773,3373234,107187,1555331,179845,193034
2,Anqing,Anhui,2004,38,180261,399017,604.2,60.3,3920200,22.6,46.62,30.78,2973117,2771877,88895,1259579,157149,160265
2,Anqing,Anhui,2003,35,125176,317471,605.2,59.6,3204307,22.92,45.18,31.89,2251898,2136501,91110,1032023,105231,128172
18,Bengbu,Anhui,2013,119,928392,1914991,366.6,103.6,10078541,17.1,51.17,31.73,18226159,17075569,277570,10608899,3253221,392545
18,Bengbu,Anhui,2012,114,784157,1646697,367.8,93.1,8902164,17.85,50,32.16,14862930,13706777,279246,8727863,1835403,334386
18,Bengbu,Anhui,2011,109,613600,1412913,365.5,92.7,7802393,18.5,49.33,32.17,12906982,10497950,258031,6509186,1025638,308818
18,Bengbu,Anhui,2010,105,429009,1068407,362.23,92.55,6368877,18.84,47.25,33.91,7726842,6484735,226980,5287334,738400,285422
18,Bengbu,Anhui,2009,103,317195,877276,360.64,92.52,5320870,19.62,44.44,35.94,5301139,4463614,177028,3557120,373955,258628
18,Bengbu,Anhui,2008,100,275041,735994,358.31,92.51,4863852,20.58,39.62,39.8,4166349,3490024,130073,2531565,405453,232225
18,Bengbu,Anhui,2007,93,226182,550000,355.27,92.11,4096988,20.11,39.14,40.75,3274801,2634168,131988,1975978,336021,215401
18,Bengbu,Anhui,2006,83,168330,416681,352.47,91.43,3590200,20.98,39.32,39.7,2614145,2201028,93050,1407128,246518,213564
18,Bengbu,Anhui,2005,78,128337,266527,349.33,90.47,3113300,21.76,38.4,39.84,1774316,1510218,80448,1248018,212819,208629
18,Bengbu,Anhui,2004,74,114994,203033,346.97,89.54,2636600,24.9,41.29,33.81,1667964,1475407,67566,1028291,168960,175733
18,Bengbu,Anhui,2003,67,105496,192535,344.93,79.49,2081442,19.86,43.41,36.74,1312619,1204339,67684,847217,135081,145215
21,Bozhou,Anhui,2013,53,643813,2064319,632.9,167,7910950,24.65,40.46,34.89,7436469,7376547,233904,5414925,1490738,144637
21,Bozhou,Anhui,2012,53,476878,1772645,612.6,165.7,7156572,25.31,40.36,34.33,6189064,6146498,228214,4302857,960108,123711
21,Bozhou,Anhui,2011,57,340441,1386189,604.2,163.8,6266531,26.18,39.64,34.18,5246408,5177486,180964,3314787,812446,105053
21,Bozhou,Anhui,2010,57,232980,1033412,600.76,161.65,5127800,26.75,37.36,35.9,3243341,3216276,109488,3436160,435160,81634
21,Bozhou,Anhui,2009,57,173185,801010,596.93,159.52,4319284,28.37,34.12,37.51,2379005,2356215,63648,2450658,216438,67166
21,Bozhou,Anhui,2008,32,126946,609322,588.77,155.53,4042200,29.45,30.32,40.23,1906099,1882532,61819,1811119,133742,63076
21,Bozhou,Anhui,2007,32,99080,491245,576.38,151.51,3355660,29.82,29.04,41.14,1385198,1368105,45460,1448895,76619,
21,Bozhou,Anhui,2006,50,78588,307410,561.65,147.15,2987300,32.47,27.34,40.19,1012629,995556,30178,1110300,74340,47610
21,Bozhou,Anhui,2005,50,57317,226716,550.14,143.37,2650000,34.51,27.29,38.2,789265,777805,25444,805404,62500,37711
21,Bozhou,Anhui,2004,50,67446,187987,545.67,141.86,2246429,39.69,26.42,33.9,638743,632488,16924,677656,48180,34875
21,Bozhou,Anhui,2003,50,71864,162039,539.23,141.16,1832512,37.82,26.38,35.8,457827,451034,17941,544709,46034,31039
34,Chizhou,Anhui,2013,37,651393,1306761,161.9,67,4622452,14.58,48.8,36.62,5529092,5299401,175832,4614756,1056746,296446
34,Chizhou,Anhui,2012,37,523746,1127224,161.9,67.1,4174466,14.89,48.92,36.19,4909293,4699742,129333,3747383,922516,257561
34,Chizhou,Anhui,2011,36,409908,881080,161.4,66.8,3724882,15.11,49.54,35.34,3715974,3528081,110423,2925956,778813,202481
34,Chizhou,Anhui,2010,35,312066,681120,160.46,66.2,3008439,15.19,46.61,38.2,2972971,2823641,86720,3568787,664877,164993
34,Chizhou,Anhui,2009,33,240977,547496,159.88,65.81,2455896,16.69,42.47,40.85,1969778,1845863,60030,2574585,469671,145504
34,Chizhou,Anhui,2008,26,178002,428349,158.93,65.43,1924000,20.37,40.83,38.8,1479660,1375604,76547,1793895,309654,133163
34,Chizhou,Anhui,2007,25,127660,292661,158.02,65,1580091,21.36,37.65,40.98,885761,821229,37829,1398545,130690,95746
34,Chizhou,Anhui,2006,19,154071,219550,157.09,64.4,1300900,21.93,38.07,40,701130,649232,37346,910421,95363,86343
34,Chizhou,Anhui,2005,15,70319,161858,156.31,63.83,1101800,23.26,36.88,39.86,515653,483832,24857,756084,77715,84517
34,Chizhou,Anhui,2004,13,47512,127228,155.4,62.98,924253,26.42,39.4,34.18,428039,401120,22796,516674,68441,72467
34,Chizhou,Anhui,2003,13,39710,107309,154.91,62.57,755027,25.92,38.63,35.45,300723,288984,18069,363363,46293,58467
37,Chuzhou,Anhui,2013,102,1144231,2508733,449.5,53.9,10861431,19.17,53,27.84,20029371,17510969,632504,10757835,2616911,210107
37,Chuzhou,Anhui,2012,87,969419,2310284,452.1,54.1,9707413,19.86,52.29,27.85,16046852,14069868,500006,8825883,2298138,205379
37,Chuzhou,Anhui,2011,70,738584,1832473,452.9,53.9,8504891,20.38,51.69,27.93,15438707,13428568,492534,6901296,1656797,138575
37,Chuzhou,Anhui,2010,60,505281,1281171,450.8,53.69,6956502,21.34,49.16,29.5,10529700,8998500,298400,7235000,1317688,162978
37,Chuzhou,Anhui,2009,50,370655,1078925,450.25,53.24,5761845,23.35,45.49,31.17,6904292,5820935,202561,5248500,663695,126750
37,Chuzhou,Anhui,2008,44,286367,836922,447.37,52.85,5201110,23.71,42.86,33.42,5961802,5083182,194610,3462227,463808,165427
37,Chuzhou,Anhui,2007,43,221739,619492,443.96,52.74,4355544,24.02,41.26,34.72,4369384,3577576,138722,2367487,293403,150388
37,Chuzhou,Anhui,2006,39,158135,427648,439.99,51.91,3722901,26.33,38.65,35.02,3270652,2663118,102859,1494282,192382,102953
37,Chuzhou,Anhui,2005,37,119980,302862,435.62,51.35,3280800,27.47,37.97,34.56,2597801,2140307,79539,1138447,165940,577070
